date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-26,Long An,12236,23286,95302,"61537, 23302","71513, 78540, 99944, 98961, 52470, 57362, 15212",3630,"7731, 3784, 0156",546,08
2008-01-27,Kiên Giang,694969,48124,61550,"55777, 44725","14945, 59121, 80613, 67265, 25771, 13773, 00795",5638,"1064, 0335, 7848",917,00
2008-01-27,Tiền Giang,38552,06917,91986,"24812, 88928","57684, 23192, 66784, 33702, 49693, 41704, 27419",5890,"2503, 4653, 8026",160,42
2008-01-27,Đà Lạt,29228,56427,66207,"01180, 06667","71982, 90982, 84903, 48295, 16997, 44753, 04822",2489,"8751, 1534, 0879",677,73
2008-01-28,Cà Mau,00397,20353,57465,"17721, 26474","71241, 14627, 45966, 70922, 01158, 40409, 76700",2256,"6741, 6934, 9447",633,75
2008-01-28,Hồ Chí Minh,28579,76783,11133,"75973, 46705","78733, 63262, 31351, 91466, 97258, 60828, 61061",3371,"3585, 3565, 6936",265,09
2008-01-28,Đồng Tháp,949967,56496,94200,"32914, 35617","06934, 25744, 40503, 32251, 57407, 37502, 30414",9241,"7417, 7582, 0049",851,71
2008-01-29,Bạc Liêu,399507,78019,52482,"19947, 30583","89946, 08334, 11158, 33177, 34975, 83956, 14988",0146,"4916, 0717, 9051",320,75
2008-01-29,Bến Tre,143158,74587,79780,"71109, 98642","82869, 79829, 96091, 97294, 31889, 52851, 35411",1543,"8197, 5658, 3060",930,94
2008-01-29,Vũng Tàu,444259,81005,14382,"00732, 89916","98571, 55621, 38200, 46181, 13070, 82587, 37352",6807,"1173, 0237, 0329",596,72
2008-01-30,Cần Thơ,473751,19093,25137,"32968, 96511","85037, 27422, 47104, 55372, 13484, 60119, 26866",5240,"1907, 4756, 4218",383,46
2008-01-30,Sóc Trăng,207541,18525,78236,"80445, 02520","89307, 71925, 39693, 90760, 66622, 55753, 56858",7953,"4389, 7338, 1591",633,55
2008-01-30,Đồng Nai,126347,28644,32976,"46342, 68311","64254, 75164, 93422, 57290, 92677, 45462, 44153",1766,"2345, 8881, 6478",477,96
2008-01-31,An Giang,124131,45551,62122,"63254, 63907","37589, 51823, 05653, 57105, 03364, 77428, 57155",0909,"3868, 6557, 1714",417,14
2008-01-31,Bình Thuận,194321,32161,03426,"31729, 23854","38579, 95632, 67137, 72456, 84187, 83255, 89956",8294,"2229, 4303, 8675",193,85
2008-01-31,Tây Ninh,06086,09395,20078,"20231, 24468","96000, 99758, 52744, 77490, 75569, 68884, 21022",8892,"8752, 3606, 9536",462,93
2008-02-01,Bình Dương,28731,22768,92496,"61204, 55045","91869, 28853, 57707, 80486, 86146, 98624, 97610",6860,"8217, 0956, 3318",999,83
2008-02-01,Trà Vinh,221371,86067,39601,"92973, 61758","83820, 02072, 64656, 39215, 50952, 69947, 06607",9008,"4708, 8772, 4765",091,51
2008-02-01,Vĩnh Long,345954,96615,17035,"36514, 41706","63072, 92236, 17181, 16044, 27542, 26494, 50824",3698,"3321, 4688, 6661",052,75
2008-02-02,Bình Phước,94861,46446,07812,"65040, 23844","44808, 07946, 28578, 41110, 87830, 23092, 87803",6374,"2401, 8835, 1515",479,65
2008-02-02,Hậu Giang,824472,90445,23170,"66795, 49345","11398, 09684, 49819, 98300, 94531, 98086, 62833",2922,"2138, 6118, 9769",261,92
2008-02-02,Hồ Chí Minh,54481,60505,75553,"64300, 77305","19189, 23450, 22467, 51696, 25236, 21467, 57049",9233,"3884, 9424, 6457",853,33
2008-02-02,Long An,049862,47623,02588,"89769, 30376","87509, 73105, 59221, 14596, 54089, 09740, 66161",7810,"7767, 6210, 1150",612,10
2008-02-03,Kiên Giang,687428,52682,07491,"82806, 91012","22932, 34915, 69972, 19070, 77407, 81299, 31177",6145,"8966, 6346, 5025",255,76
2008-02-03,Tiền Giang,188456,59023,35878,"39595, 96680","46200, 93815, 07871, 12488, 34607, 39397, 47726",8964,"5283, 8756, 2844",910,56
2008-02-03,Đà Lạt,135352,94258,22495,"36082, 78154","01788, 23597, 68677, 56501, 33623, 89661, 18161",6368,"4588, 2142, 7468",287,51
2008-02-04,Cà Mau,271607,89191,45505,"67753, 08113","19264, 10752, 88449, 24248, 50138, 45315, 50867",9400,"8452, 4853, 4922",953,48
2008-02-04,Hồ Chí Minh,366135,03874,29985,"56414, 51303","50117, 96005, 94399, 68209, 42965, 19759, 76811",6307,"8738, 6732, 8800",486,24
2008-02-04,Đồng Tháp,871058,16340,64439,"67354, 13828","25307, 13699, 01287, 63596, 34492, 11797, 30250",3614,"7414, 5696, 2485",713,61
2008-02-05,Bạc Liêu,573551,01731,60413,"07448, 31294","84313, 85623, 25205, 15147, 50113, 77778, 70999",3954,"7931, 5485, 9129",102,28
2008-02-05,Bến Tre,676528,51460,70204,"94437, 53064","42400, 61696, 95620, 95313, 32076, 03003, 51779",7349,"2876, 2403, 2671",071,44
2008-02-05,Vũng Tàu,243168,18944,54431,"14838, 81566","83234, 25145, 24252, 77908, 91157, 01072, 20213",8145,"6145, 7833, 2836",762,80
2008-02-06,Cần Thơ,882263,81808,93824,"72320, 63864","91348, 23732, 22728, 82535, 39146, 20045, 03623",8272,"1400, 0344, 2915",698,62
2008-02-06,Sóc Trăng,365066,57397,42834,"82763, 45292","18968, 33460, 23804, 22575, 08200, 31664, 81929",3514,"3215, 6334, 1389",254,72
2008-02-06,Đồng Nai,676949,24027,09067,"52365, 39680","92074, 34963, 70734, 95760, 92689, 17006, 47601",0682,"5802, 9032, 5231",965,46
2008-02-07,An Giang,199352,40573,66521,"64338, 32549","95425, 70482, 75214, 95472, 98229, 29487, 37547",8915,"4548, 6299, 3410",886,23
2008-02-07,Bình Thuận,224214,40183,39895,"11340, 08653","24285, 60212, 07103, 30379, 27293, 12150, 08089",5146,"5254, 2840, 6106",958,75
2008-02-07,Tây Ninh,96811,13657,39938,"24417, 40024","60215, 56348, 82219, 88083, 85215, 96645, 57794",3843,"8388, 2382, 3410",527,31
2008-02-08,Bình Dương,808072,98013,73093,"49186, 67669","68466, 08848, 40087, 09264, 98670, 91170, 60157",2649,"8200, 7824, 1343",341,02
2008-02-08,Trà Vinh,278219,45982,98488,"04639, 98322","94652, 68384, 29104, 83907, 34436, 43909, 55222",6426,"9397, 2658, 7317",509,76
2008-02-08,Vĩnh Long,372008,29719,19634,"74417, 24290","29421, 37357, 19954, 27606, 94300, 00559, 51077",9701,"4965, 4830, 4013",694,17
2008-02-09,Bình Phước,34581,65032,82044,"48479, 41715","92861, 50967, 28413, 39151, 67259, 81735, 64850",7558,"2058, 7046, 9776",016,63
2008-02-09,Hậu Giang,040990,24513,14105,"91840, 73446","58646, 47760, 00368, 55686, 68911, 46232, 50173",0132,"3774, 6091, 8215",285,90
2008-02-09,Hồ Chí Minh,146780,08831,96042,"53181, 35382","83676, 70649, 26010, 16729, 00209, 05829, 94145",1058,"2153, 7819, 4299",761,23
2008-02-09,Long An,686003,15661,70776,"47512, 66531","77859, 30062, 21780, 57164, 09785, 63910, 63303",4604,"9472, 6201, 7550",978,24
2008-02-10,Kiên Giang,538750,37224,30338,"84579, 87557","06919, 61985, 39107, 12161, 16909, 08372, 73063",1373,"8165, 6048, 8950",856,72
2008-02-10,Tiền Giang,449300,16414,36735,"51986, 19159","86994, 45938, 50520, 38843, 60975, 66305, 50017",3740,"1008, 0878, 3844",972,12
2008-02-10,Đà Lạt,580488,36962,53051,"79232, 22329","04090, 43312, 89694, 41939, 54027, 10155, 07359",5237,"2585, 3066, 9710",884,55
2008-02-11,Cà Mau,593664,79681,56381,"78023, 63074","59309, 24666, 13419, 28439, 20275, 23156, 31979",1343,"6064, 8484, 9268",695,24
2008-02-11,Hồ Chí Minh,79552,55385,66816,"43417, 20730","50968, 46680, 16721, 00834, 91487, 41965, 11476",7410,"0522, 6479, 5104",355,93
2008-02-11,Đồng Tháp,502313,63709,58251,"75805, 59565","95818, 76725, 11212, 53653, 07160, 73208, 00914",3990,"1381, 3552, 2427",209,28
2008-02-12,Bạc Liêu,770590,19966,81587,"65850, 16602","71264, 21176, 49048, 05037, 71111, 09074, 14412",0933,"1249, 3719, 4601",733,97
2008-02-12,Bến Tre,453281,33322,05456,"11762, 24236","14046, 49764, 50511, 98544, 37658, 20960, 69170",8063,"9457, 5356, 7829",779,24
2008-02-12,Vũng Tàu,345951,64855,14622,"84032, 33217","73943, 11544, 19572, 96173, 48327, 17992, 16521",8470,"5141, 2334, 4041",667,73
2008-02-13,Cần Thơ,105775,31809,37542,"16041, 33882","14877, 44966, 92869, 04225, 86983, 54463, 32444",6328,"4262, 7103, 7789",502,26
2008-02-13,Sóc Trăng,944962,01429,38010,"93814, 98137","07897, 76799, 78386, 65226, 51750, 25029, 57621",1106,"6530, 5820, 5180",996,20
2008-02-13,Đồng Nai,035970,78243,22979,"98367, 76435","87671, 30637, 21346, 44468, 04276, 59270, 79583",7778,"7397, 1788, 2448",559,83
2008-02-14,An Giang,764302,79484,26477,"79106, 69356","68451, 90944, 69110, 53274, 23540, 31726, 58525",9847,"9883, 5596, 6919",861,41
2008-02-14,Bình Thuận,734186,34314,22044,"18829, 24224","46269, 72202, 10440, 74127, 38363, 54748, 22740",1072,"3980, 9867, 3480",843,22
2008-02-14,Tây Ninh,25225,81281,30028,"80124, 88442","67127, 96336, 59959, 10103, 73779, 81204, 75489",5917,"1074, 0862, 2349",248,89
2008-02-15,Bình Dương,592185,80596,64615,"24828, 92224","28179, 44285, 55445, 13384, 04430, 23730, 66237",2382,"5920, 2082, 2515",035,39
2008-02-15,Trà Vinh,139264,52974,20954,"33168, 93454","52050, 68103, 74488, 51329, 50091, 62465, 47042",3198,"7690, 1683, 5837",079,05
2008-02-15,Vĩnh Long,802231,07729,58102,"34410, 78017","46726, 24414, 23096, 78853, 18517, 83879, 11679",7268,"9270, 2921, 9248",211,80
2008-02-16,Bình Phước,47651,14045,62446,"85835, 42903","00123, 64579, 53358, 57641, 51342, 46437, 33935",0783,"1456, 0295, 1239",793,63
2008-02-16,Hậu Giang,22977,86735,80717,"25106, 95511","77022, 21024, 53984, 25969, 11509, 66146, 02380",7132,"7741, 5261, 0427",948,01
2008-02-16,Hồ Chí Minh,29856,92202,86847,"82125, 08349","40244, 83610, 20385, 96382, 28048, 17832, 81826",9731,"0858, 7015, 2716",397,47
2008-02-16,Long An,316548,11968,31133,"14626, 04534","49611, 13033, 40158, 73628, 11065, 39989, 53154",9166,"1450, 6822, 6139",338,76
2008-02-17,Kiên Giang,98859,66934,91322,"93009, 95690","10441, 66902, 76608, 16563, 64297, 53826, 41760",6986,"3249, 3922, 5017",450,72
2008-02-17,Tiền Giang,206025,34189,14999,"67499, 11097","53433, 06680, 71288, 03866, 44597, 58949, 67675",3709,"6081, 2476, 2588",936,43
2008-02-17,Đà Lạt,823997,40891,39341,"07274, 86839","07321, 18666, 27761, 98035, 96272, 10573, 72569",5454,"4050, 3466, 8132",154,81
2008-02-18,Cà Mau,104744,20493,11828,"78267, 23704","43694, 37029, 02872, 03676, 05673, 26302, 61764",4977,"9530, 5667, 0420",793,38
2008-02-18,Hồ Chí Minh,84124,66946,24158,"75748, 65712","58608, 07637, 50665, 97372, 14515, 06046, 87246",7077,"2722, 4823, 7710",374,86
2008-02-18,Đồng Tháp,17922,42772,96333,"06892, 16146","84265, 80805, 89466, 48522, 56335, 28409, 04672",8294,"7473, 3781, 0183",199,43
2008-02-19,Bạc Liêu,60230,02613,84213,"33803, 45052","61351, 22597, 13053, 11420, 68248, 43427, 69029",0606,"2877, 1568, 3099",179,50
2008-02-19,Bến Tre,73137,87284,94957,"96499, 47205","54173, 21344, 70958, 91386, 36031, 93036, 97228",0236,"8726, 4033, 1851",093,58
2008-02-19,Vũng Tàu,57977,86722,20592,"87224, 93651","45724, 75364, 55607, 49772, 47277, 38493, 75033",0604,"9080, 5783, 7244",820,77
2008-02-20,Cần Thơ,37046,93150,97557,"51825, 28364","23302, 57694, 06717, 43739, 31218, 88551, 95470",2034,"7975, 1041, 3346",961,01
2008-02-20,Sóc Trăng,24100,21391,01427,"04849, 31222","77663, 93113, 12713, 61984, 36382, 72020, 14707",4249,"8504, 1411, 6957",005,68
