date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2009-03-28,Đà Nẵng,00078,14203,60694,"02370, 15192","94308, 92331, 34183, 20442, 91246, 36953, 26648",3997,"9584, 9371, 1251",315,06
2009-03-28,Đắk Nông,84654,59882,62504,"79652, 14926","84372, 32079, 13146, 12174, 33317, 47048, 46723",3746,"0847, 5038, 4207",819,83
2009-03-29,Khánh Hòa,90634,47207,96916,"43863, 30427","83018, 86412, 87942, 05234, 48437, 38570, 12546",0623,"3854, 4174, 4944",276,09
2009-03-29,Kon Tum,47709,48243,44032,"44151, 29426","09828, 79295, 65436, 07436, 15186, 55202, 07577",9584,"1684, 5283, 6986",345,66
2009-03-30,Phú Yên,30895,84932,80119,"81183, 18071","70428, 09411, 98460, 04988, 60963, 05091, 90089",7962,"7845, 4899, 6509",688,32
2009-03-30,Thừa Thiên Huế,66098,58608,95326,"81021, 93352","26867, 95956, 33957, 43638, 86769, 68176, 72082",6585,"2006, 8553, 2101",834,37
2009-03-31,Quảng Nam,04171,12667,21463,"88854, 02258","00583, 98712, 48428, 14205, 20057, 90003, 87594",6455,"4240, 3324, 7769",935,09
2009-03-31,Đắk Lắk,29128,72380,89279,"54939, 45234","58816, 64549, 56273, 18494, 05323, 30636, 69113",4593,"0297, 9761, 2146",640,06
2009-04-01,Khánh Hòa,92025,86008,92870,"91475, 19955","63131, 65993, 39873, 97235, 70878, 95810, 80078",7990,"2584, 9275, 1929",317,72
2009-04-01,Đà Nẵng,56029,39405,60416,"86496, 18424","04823, 08724, 04875, 26779, 94106, 09328, 25170",3828,"0157, 3208, 6463",794,20
2009-04-02,Bình Định,37762,79160,25438,"12371, 99318","58046, 30182, 59558, 58255, 74970, 38967, 91081",4027,"5661, 8039, 0575",732,81
2009-04-02,Quảng Bình,77266,44897,92900,"47199, 95570","09531, 26047, 76057, 67779, 08936, 51113, 34713",1390,"3806, 0371, 4111",390,67
2009-04-02,Quảng Trị,89942,87129,07481,"37122, 54271","65807, 83778, 57178, 35794, 24223, 65919, 06102",4729,"9091, 5778, 0933",496,88
2009-04-03,Gia Lai,72170,11007,02458,"91234, 83335","23709, 05369, 82216, 39441, 32308, 93796, 26648",5901,"6599, 1411, 5041",741,00
2009-04-03,Ninh Thuận,62761,07279,92974,"48925, 35237","76019, 30836, 49507, 97626, 15173, 05944, 04798",4701,"7739, 2191, 0868",992,34
2009-04-04,Quảng Ngãi,72141,73126,98092,"64935, 87202","22801, 38129, 21059, 88541, 80987, 34463, 52036",4002,"8891, 8199, 0645",741,08
2009-04-04,Đà Nẵng,71944,54463,58294,"97114, 94853","69067, 20571, 67480, 06021, 46406, 33792, 89823",5328,"9075, 6998, 2519",536,66
2009-04-04,Đắk Nông,87021,88721,52410,"58972, 01623","79144, 36318, 96566, 23015, 79999, 63358, 33961",6407,"1469, 3618, 5305",357,86
2009-04-05,Khánh Hòa,38371,45696,93177,"43559, 82604","82055, 23948, 48140, 90312, 12688, 27330, 01330",2021,"2533, 7533, 8290",226,89
2009-04-05,Kon Tum,61800,60349,82480,"63176, 92734","72550, 57979, 96100, 51551, 12761, 84622, 02960",7736,"9042, 2366, 1002",643,57
2009-04-06,Phú Yên,81712,09004,26562,"70555, 25563","39803, 83026, 17885, 19786, 44440, 66025, 59588",5715,"5157, 0605, 2692",573,54
2009-04-06,Thừa Thiên Huế,87784,16147,52595,"62284, 86949","15778, 99292, 59487, 54939, 81169, 26176, 64405",6718,"0156, 9075, 2467",700,88
2009-04-07,Quảng Nam,11729,72008,14888,"69558, 04364","80099, 61463, 16866, 65912, 07004, 92601, 68944",8546,"2964, 3905, 0662",073,19
2009-04-07,Đắk Lắk,25110,08418,83512,"25484, 90001","13679, 34124, 47472, 20060, 87048, 32704, 00010",6459,"0929, 1426, 6720",534,43
2009-04-08,Khánh Hòa,39264,13676,87624,"91066, 71437","92645, 28703, 15174, 26235, 86957, 34574, 72832",3972,"5822, 4734, 3825",266,84
2009-04-08,Đà Nẵng,30275,87735,15745,"07574, 75077","02852, 14254, 14166, 98552, 39656, 82711, 64043",1358,"6251, 2536, 4262",729,30
2009-04-09,Bình Định,45188,13636,15478,"02935, 53838","87941, 41963, 13879, 80421, 61678, 64521, 09940",6740,"5944, 4259, 1101",483,72
2009-04-09,Quảng Bình,57635,01525,63665,"70087, 75814","51833, 28749, 49821, 44112, 97303, 38342, 72166",1317,"2986, 8017, 7247",942,05
2009-04-09,Quảng Trị,75876,59876,04932,"73144, 93873","44082, 02007, 22702, 53134, 55611, 84592, 16108",8831,"5593, 0828, 6408",255,28
2009-04-10,Gia Lai,41098,37319,32769,"18220, 07002","17463, 47032, 59509, 17325, 54703, 34466, 86402",0051,"2805, 0734, 3440",232,21
2009-04-10,Ninh Thuận,88317,85267,46902,"95415, 90278","42444, 94956, 85247, 07409, 64928, 75148, 62799",6220,"2888, 8250, 8968",511,42
2009-04-11,Quảng Ngãi,05164,11291,23167,"46550, 17698","70492, 27707, 87802, 76433, 35876, 31557, 61634",6430,"2576, 4869, 9047",127,80
2009-04-11,Đà Nẵng,30865,63214,70118,"86780, 03487","30667, 58376, 45415, 43937, 07826, 77925, 94676",0709,"4234, 8295, 5491",758,39
2009-04-11,Đắk Nông,46598,74464,25447,"88966, 43243","68420, 16795, 35619, 86401, 01067, 34788, 50430",7493,"3427, 4554, 2842",220,85
